"","states_2015","Antrozous pallidus","Choeronycteris mexicana","Corynorhinus rafinesquii","Corynorhinus townsendii","Eptesicus fuscus","Euderma maculatum","Eumops floridanus","Eumops perotis","Eumops underwoodi","Idionycteris phyllotis","Lasionycteris noctivagans","Lasiurus borealis","Lasiurus cinereus","Lasiurus ega","Lasiurus frantzii","Lasiurus intermedius","Lasiurus seminolus","Lasiurus semotus","Lasiurus xanthinus","Leptonycteris nivalis","Leptonycteris yerbabuenae","Macrotus californicus","Molossus molossus","Mormoops megalophylla","Myotis auriculus","Myotis austroriparius","Myotis californicus","Myotis ciliolabrum","Myotis evotis","Myotis grisescens","Myotis leibii","Myotis lucifugus","Myotis occultus","Myotis septentrionalis","Myotis sodalis","Myotis thysanodes","Myotis velifer","Myotis volans","Myotis yumanensis","Nycticeius humeralis","Nyctinomops femorosaccus","Nyctinomops macrotis","Parastrellus hesperus","Perimyotis subflavus","Tadarida brasiliensis","text"
"1","Alabama",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,"Corynorhinus rafinesquii, Lasiurus intermedius, Myotis austroriparius, Myotis grisescens, Myotis leibii, Myotis lucifugus, Myotis septentrionalis, Myotis sodalis, Perimyotis subflavus, Tadarida brasiliensis"
"2","Alaska",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Lasionycteris noctivagans, Myotis californicus, Myotis lucifugus, Myotis volans"
"3","Arizona",0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,"Choeronycteris mexicana, Euderma maculatum, Eumops underwoodi, Idionycteris phyllotis, Lasiurus xanthinus, Leptonycteris yerbabuenae, Macrotus californicus, Myotis auriculus, Myotis evotis, Myotis occultus, Myotis velifer, Myotis yumanensis, Nyctinomops femorosaccus, Tadarida brasiliensis"
"4","Arkansas",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"Corynorhinus rafinesquii, Myotis austroriparius, Myotis grisescens, Myotis leibii, Myotis lucifugus, Myotis septentrionalis, Myotis sodalis"
"5","California",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,"Antrozous pallidus, Choeronycteris mexicana, Corynorhinus townsendii, Leptonycteris yerbabuenae, Macrotus californicus, Myotis evotis, Myotis occultus, Myotis thysanodes, Myotis velifer, Myotis volans, Nyctinomops macrotis"
"6","Colorado",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,"Euderma maculatum, Idionycteris phyllotis, Lasiurus cinereus, Myotis lucifugus, Myotis thysanodes, Nyctinomops macrotis"
"7","Connecticut",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,"Eptesicus fuscus, Lasionycteris noctivagans, Lasiurus borealis, Lasiurus cinereus, Myotis leibii, Myotis lucifugus, Myotis septentrionalis, Myotis sodalis, Perimyotis subflavus"
"8","Delaware",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,"Eptesicus fuscus, Lasionycteris noctivagans, Lasiurus borealis, Lasiurus cinereus, Myotis leibii, Myotis lucifugus, Myotis septentrionalis, Nycticeius humeralis, Perimyotis subflavus"
"9","District of Columbia",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,"Eptesicus fuscus, Lasionycteris noctivagans, Lasiurus borealis, Lasiurus cinereus, Myotis leibii, Myotis lucifugus, Myotis septentrionalis, Nycticeius humeralis, Perimyotis subflavus"
"10","Florida",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Corynorhinus rafinesquii, Eptesicus fuscus, Eumops floridanus, Lasiurus seminolus, Myotis austroriparius, Myotis grisescens, Perimyotis subflavus"
"11","Georgia",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,"Corynorhinus rafinesquii, Lasiurus intermedius, Myotis austroriparius, Myotis grisescens, Myotis leibii, Myotis lucifugus, Myotis septentrionalis, Myotis sodalis, Perimyotis subflavus"
"12","Idaho",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corynorhinus townsendii, Lasionycteris noctivagans, Lasiurus cinereus, Myotis ciliolabrum, Myotis lucifugus"
"13","Illinois",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Corynorhinus rafinesquii, Myotis austroriparius, Myotis grisescens, Myotis leibii, Myotis septentrionalis, Myotis sodalis"
"14","Indiana",0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,"Corynorhinus rafinesquii, Lasionycteris noctivagans, Lasiurus borealis, Lasiurus cinereus, Myotis austroriparius, Myotis grisescens, Myotis leibii, Myotis lucifugus, Myotis septentrionalis, Myotis sodalis, Nycticeius humeralis, Perimyotis subflavus"
"15","Iowa",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,"Lasionycteris noctivagans, Myotis lucifugus, Myotis septentrionalis, Myotis sodalis, Nycticeius humeralis, Perimyotis subflavus"
"16","Kansas",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Antrozous pallidus, Corynorhinus townsendii, Myotis ciliolabrum, Myotis grisescens, Myotis lucifugus, Myotis septentrionalis"
"17","Kentucky",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"Corynorhinus rafinesquii, Myotis austroriparius, Myotis grisescens, Myotis leibii, Myotis sodalis, Nycticeius humeralis"
